,data,target
18,klitschko wants 50th career knockout against haye world heavyweight champion vladimir klitschko is confident he can unleash his 50th career knockout punch against wba champion briton david haye in july. http://feeds.reuters.com/~r/reuters/sportsnews/~3/8gkzy5bmwuw/us-boxing-klitschko-haye-idustre7483he20110509,0
19,granger's late jumper lifts pacers past knicks danny granger's jumper with 0.3 seconds left gave the indiana pacers a 119-117 victory over the new york knicks on tuesday night. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/uvxj29smjps/2011-03-15-pacers-knicks_n.htm,0
20,providence hires ed cooley providence has hired former fairfield coach ed cooley to replace the fired keno davis. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/glzwcspfo90/ap-bkc-providence-cooley.html,0
21,heat 'very disappointed' in late game 2 collapse the miami heat have had ample opportunity to watch and re-watch and re-watch to their collapse against dallas mavericks. how many times has heat ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/hqxyesgf12o/2011-06-04-finals-game-2-reaction_n.htm,0
22,"london 2012 unveils ""golden cheesegrater"" olympic torch the london 2012 olympics has unwittingly acquired its first iconic image after unveiling an olympic torch design which looks like a huge cheesegrater on wednesday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/zkizjeer2om/us-olympics-2012-torch-idustre75740e20110608",0
23,"roundup: beating friend in playoff, glover ends drought lucas glover beat jonathan byrd for his first win since the 2009 united states open. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/xtch_ela0ng/09golf.html",0
24,bonds guilty of obstruction of justice barry bonds was convicted of obstructing justice after a trial over whether he lied about taking steroids. but the jury failed to reach a verdict on other counts. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/cmuzohogme0/,0
25,"ryan breymaier chronicles sailing race around the world ryan breymaier, the only american competing in the barcelona world race, was in fifth place with german boris herrmann on monday and sailing ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/gklicrotojs/2011-03-28-ryan-breymaier-barcelona-world-race_n.htm",0
26,"nadal, wozniacki win easily at indian wells rafael nadal breezed past american qualifier ryan sweeting 6-3, 6-1 in a third-round match as the second week of the bnp paribas open began  ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/dodffpqgqms/2011-03-14-bnp-paribas-open_n.htm",0
27,"canucks' sedin in running to keep hart trophy in the family daniel sedin was among the three finalists named for the hart memorial trophy thursday, giving him a chance to capture the most valuable player award a year after his twin brother and vancouver team mate won the sport's highest individual honor. http://feeds.reuters.com/~r/reuters/sportsnews/~3/c_bn1ese-ik/us-nhl-awards-hart-idustre73r5p620110428",0
28,"preakness notes: maximum field expected despite loss of nehro kentucky derby runner-up nehro will skip saturday's preakness and make his next start in the june 11 belmont stakes. despite nehro's absence, ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/7ofblpspmtg/2011-05-17-preakness-notes-nehro_n.htm",0
29,"lightning striking as a team at perfect time if the key to a lengthy postseason run is getting contributions from everyone on the roster, the tampa bay lightning might be primed for big ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/8h2akg6yom0/2011-05-02-tampa-bay-lightning_n.htm",0
30,"rookie's bunt rbi lifts indians over reds 5-4 rookie pinch-hitter ezequiel carrera bunted home shin-soo choo from third base with two outs in the eighth inning, sending the cleveland indians ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/pn9qqgjklio/2011-05-20-indians-reds_n.htm",0
31,djokovic wins 41st straight this year novak djokovic added a 41st  consecutive victory to this year's list and wove a competent straight-set victory over richard gasquet of france on sunday at the french open. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/leyurdye_3u/,0
32,"anthony and knicks can see what might have been the nets, who were in negotiations to acquire carmelo anthony at the n.b.a. trade deadline, visit the knicks on wednesday. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/rx_m4kg0nlw/30knicks.html",0
33,drake wins first college football game in africa the drake bulldogs and a mexican all-star team made history saturday by playing the first college football game in africa. the bulldogs beat ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/s8s3gpmyyhy/2011-05-21-drake-africa-football_n.htm,0
34,"connecticut 76, pittsburgh 74: walker carries uconn over pitt at the buzzer kemba walker?s 18-footer as the horn sounded sent connecticut to the big east tournament semifinals. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/d0-rxwpeoj8/11uconn.html",0
35,"braves' chipper jones plays, tries to avoid surgery chipper jones is 39 years old and a fixture here. he is a good bet to make it to cooperstown. so if he says he can play on a sore right knee, ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/af-tzxgva1w/1",0
36,"with nfl in 'chaos' mode, players say league 'better act quickly' nfl players applied pressure to the league on tuesday as they remained effectively, if not technically, locked out of football activities. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/yveztdfhf00/1",0
37,"sharks down kings to take 3-1 series lead ryane clowe scored two goals, jason demers added another in the second period and the san jose sharks beat the los angeles kings 6-3 on thursday ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/k9y97aq9eny/2011-04-22-sharks-kings_n.htm",0
38,mcilroy surges four clear at masters britain's rory mcilroy kept his swing and nerves under control at the masters on saturday to open a commanding four-shot lead after an absorbing third round as his main challengers all fell back. http://feeds.reuters.com/~r/reuters/sportsnews/~3/mkupdbv12gq/us-golf-masters-idustre7382vw20110410,0
39,"marty marion, cardinals's slick-fielding shortstop, dies at 93 mr. marion, known as the octopus for his long arms and ability to gobble up ground balls, was an all-star every season from 1943 to 1950. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/0yj8qxodvp4/17marion.html",0
40,no big moves during short day at the players championship nick watney and graeme mcdowell were atop the leaderboard after a short day of work saturday in the players championship. the winner of golf's ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/wi9hq5yngru/2011-05-14-the-players-championship_n.htm,0
41,"yankees to stop hand signals after mlb inquiry keith olbermann had put a photo on twitter of brett weber, a yankees baseball operations coaching assistant, holding up four fingers toward the field during thursday's game against the detroit tigers. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/9mybgeyv8qu/ap-bba-yankees-hand-signals.html",0
42,usc's pat haden will talk about alcohol with coach kevin o'neill now that southern california has been bounced from the ncaa tournament trojans coach kevin o'neill is headed for a serious conversation about ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/i95rdftr2xe/1,0
43,rome suspended as league vows to clean up cup finals aaron rome was given the longest suspension in cup finals history after his hit in game 3 left the bruins' nathan horton with a severe concussion. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/b7lpdnnt3z8/,0
44,tampa bay strikes lightning fast in game 1 win over boston the lightning scored three goals in 1:25 in the first period to propel tampa bay to a 5-2 win over boston in game 1 of the eastern conference ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/agm-_tv7uuu/2011-05-14-lightning-bruins-game-one_n.htm,0
45,"photo replay: march 11 a look at the day in sports, from street hockey at the white house to cricket in bangladesh. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/adsui8kj_mc/photo-replay.html",0
46,"an early celebration leaves the heat with a game 2 hangover the clock showed 7:14 when dwyane wade hit a 3 that pushed miami's lead to 15 points. after lebron james and wade danced, the mavericks went on a 22-5 run. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/z4qvhfzloc4/heats-premature-celebration-fuels-dallas-rally.html",0
47,"ap: rivers, celtics working on deal; hope to keep core intact the boston celtics have all their key players signed for next season, and coach doc rivers seems ready to return as well. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ftq4othhg9s/2011-05-12-doc-rivers-return_n.htm",0
48,espn issues new rules for announcers the sports network is trying to limit endorsements that would create the appearance of a conflict of interest. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/hdzdbhezxlc/14espn.html,0
49,usc 'vehemently' disagrees with ncaa's rejection of appeal southern california reacted strongly one day after being notified its appeal of penalties handed out its football program was rejected by the ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/e0jljocbnuu/1,0
50,letters to the editor readers sound off on the latest headlines. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/hlhnqmdmcls/letters-to-the-editor.html,0
51,"stars down ducks to snap nhl losing streak the dallas stars snapped a six-game losing streak with a controversial 4-3 road win over the anaheim ducks sunday, keeping their slim hopes of a playoff place alive. http://feeds.reuters.com/~r/reuters/sportsnews/~3/xwz3zzeckei/us-nhl-ducks-idustre7330fx20110404",0
52,"2011 baseball preview: meet 30-down: wilson is answer for the giants giants closer brian wilson has an interest in crossword puzzles, and now he and the leader of the beach boys are an answer in one. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/fytcue11a40/31wilson.html",0
53,phillies and red sox top list of world series contenders the philadelphia phillies re-armed in hopes of toppling the champion san francisco giants and the boston red sox beefed up their lineup for a title run in the 2011 major league baseball season that starts thursday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/cjtfeaacxfq/us-baseball-preview-idustre72r4ie20110328,0
54,"basketball world pays homage after ""shaq"" quits shaquille o'neal, one of the most successful and recognizable players in professional basketball, announced his retirement on wednesday, ending a career that spanned almost two decades and helped increase the popularity of the sport outside the united states. http://feeds.reuters.com/~r/reuters/sportsnews/~3/kyts4ag6dii/us-nba-shaquille-idustre7506ks20110602",0
55,"jimmer lite? florida's walker 'fearless' when it's crunch time in thursday night's brigham young-florida southeast regional semifinal, keep an eye out for the game-changing guard likely to make a big shot ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/phn1mvzy5co/2011-03-22-florida-erving-walker-byu-sweet-16_n.htm",0
56,long bomber johnson ready for korean dust-up american dustin johnson has promised to dazzle south korean crowds with finesse as well as his jaw-dropping length off the tee at this week's co-sanctioned ballantine's championship. http://feeds.reuters.com/~r/reuters/sportsnews/~3/do1lrefbuhq/us-golf-european-johnson-idustre73q2j820110427,0
57,"byu's brandon davies plans on playing for cougars next season brigham young forward brandon davies, who was suspended on march 1 for violating the school's honor code, plans to return next year to play for ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ijzu29mvrwe/1",0
58,"role players help the lightning strike twice in playoff series the surprise team of the stanley cup playoffs, the tampa bay lightning, advanced to the semifinal stage of the tournament last week by sweeping the top-seeded, glamorous washington capitals, an outcome few had predicted. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/g4tmsrdszzq/",0
59,"former mets officer weighs a bid paul danforth, who spent 13 years with the team as a sales executive, holds a senior post at the c.a.a. sports agency division. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/dvrt6ucqnfi/09buyer.html",0
60,"daniel murphy says mets shooting for 100 wins after an eventful two innings of work, daniel murphy expresses the mets' self confidence. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/kzvuqkgmw6w/",0
61,"in the majors, young players are still teething at the plate the 42 players who made their major league debuts in march and april have been putting up abysmal numbers at the plate. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/g-_12yk2hei/",0
62,testing times for tiger woods on augusta's tricky greens the body language said it all as tiger woods wasted a good driving display with woeful putting to slide out of contention at the masters in saturday's third round. http://feeds.reuters.com/~r/reuters/sportsnews/~3/hlssi6ndbmg/us-golf-masters-woods-idustre73907620110410,0
63,"slumping gardner gets the night off brett gardner, the yankees' struggling leadoff hitter, was not in the starting lineup for wednesday's game in toronto. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/wdwjiok3jx4/",0
64,erik spoelstra vows heat will rebound from late slump miami heat coach erik spoelstra described thursday's dramatic 95-93 defeat to the dallas mavericks in game two of the nba finals as one of the toughest losses he has had to endure. http://feeds.reuters.com/~r/reuters/sportsnews/~3/-bpmdsphuom/us-nba-finals-spoelstra-idustre7520py20110603,0
65,sharks beat red wings in ot to take game 1 little-used benn ferriero scored 7:03 into overtime of his playoff debut on a deflected goal that gave the san jose sharks a 2-1 victory over ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ysntcraeo6o/2011-04-30-red-wings-sharks_n.htm,0
66,"war veterans show games can play important part in recovery nearly 200 men and women from all military branches competed last week in the second annual warrior games, held in colorado springs. the games, ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/1emfgq11xea/2011-05-24-warrior-games-military-veterans-recovery_n.htm",0
67,"sugar ray leonard says olympic coach sexually abused him as a kid former boxing champion sugar ray leonard says in a new autobiography that he was sexually abused as a teenager by an unnamed olympic boxing coach, ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/risiwacd8a4/1",0
68,rose denies comments on performance-enhancing drugs the chicago point guard had been quoted by espn the magazine as saying performance-enhancing drugs had a high influence in the n.b.a. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/4lvpmjyjkek/,0
69,"cink, henry lead texas open after na's historic meltdown j.j. henry and former british open champion stewart cink share the texas open lead after shooting first-round 5-under 67s on a day the spotlight ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/fzadgqyjnww/2011-04-14-valero-texas-open_n.htm",0
70,"kentucky's john calipari accepts offer to coach dominican national team kentucky men's basketball coach john calipari has accepted an offer to coach the dominican republic's national team, the coach announced on his ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/xve_lz7u6xk/1",0
71,knicks president walsh out; thomas talk will intensify new york knicks president donnie walsh says he is leaving after he could not work out a contract renewal to his liking with madison square garden ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/hpcoeigxh9y/2011-06-03-donniewalsh_n.htm,0
72,"the rail: morning line: animal kingdom's outspoken owner morning line for friday, may 13 http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/4yhefsswzi4/",0
73,"lakers coach jackson bids farewell after playoff exit phil jackson, the most successful coach in nba history, walked gingerly off the court for what is likely to be the final time following the los angeles lakers' season-ending loss to the dallas mavericks on sunday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/e5soxixp8ce/us-nba-lakers-jackson-idustre74803620110509",0
74,heat's defense smothering celtics in playoff series everyone loves to see replays of miami heat guard dwayne wade's nifty euro step past confused boston celtics forward kevin garnett for a layup ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/gnacu2imgwm/2011-05-04-heat-defense-celtics_n.htm,0
75,nfl turns players' words against them in appeal to extend lockout the nfl blasted the idea that only players suffer harm during a lockout and tried to use some lockout-mitigating words of some players against ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/pyp3apnd_uk/1,0
76,giambi takes his chance to fuel rockies win little-used jason giambi clobbered three homers and drove in seven runs to power the colorado rockies to a 7-1 win over the philadelphia phillies in a battle of division leaders on thursday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/xlrxv_syzg0/us-baseball-rockies-giambi-idustre74j0m920110520,0
77,"kenya begins investigation into wanjiru's death kenyan authorities began an investigation tuesday into samuel wanjiru's death in a balcony fall, while the olympic marathon champion's mother accused his wife of killing him to gain control of his property. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/cinrmncf688/ap-ath-wanjiru-investigation.html",0
78,fantasy focus: closers in waiting when major league closers falter - and it always happens - these relievers could step in and gain sudden value for your fantasy team. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/zs1wprfpkma/,0
79,directv won't charge for nfl sunday ticket until lockout ends fans who consume the nfl at home on directv are getting a benefit that many fans who attend games each week aren't: they don't have to pay up ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/cpb0tey-b78/1,0
80,"big ten considering starting league basketball games earlier for most of the high-major conferences, league play in men's basketball opens around christmas or new year's eve. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/mtz2yae_6my/1",0
81,"mack leads the charge to help butler get back to final four kentucky fans, were you watching? if so, it might end up being painful ... again. shelvin mack grew up in lexington. he was a fan of the wildcats. ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/fnv0ypi_jee/2011-03-26-butler-mack-florida-sidebar_n.htm",0
82,bengals owner on chad ochocinco: 'we want a football player' cincinnati bengals owner mike brown took notice when wr chad ochocinco hopped on a bull earlier this month. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ccjzgg_lw9s/1,0
83,"for schiavone, taste of limelight has lingered francesca schiavone needed only 62 minutes to dispatch the american melanie oudin, 6-2, 6-0, at the french open. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/dd3tbhqf768/no-longer-anonymous-schiavone-advances-at-french-open.html",0
84,2010 st. louis rams: what the film revealed the rams have a lot of reasons to be giddy about sam bradford. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/f8gw6mz5b8k/,0
85,"get your quarterbacks here an odd n.f.l. off-season produces a run on quarterbacks at the draft, the debate over cam newton rages on, and the lakers dispose of the pesky hornets. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/u1yikb0hmas/",0
86,"duke adjusts to life with irving kyrie irving's return meant more shuffling for duke coach mike krzyzewski, but he considers that a good problem, not a hindrance http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/8_mkifro5uc/",0
87,"shields helps rays finish strong road trip, beats indians james shields pitched seven strong innings to finally beat cleveland, and the tampa bay rays did some more road repair to their record with a ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/7m5rktq4oee/2011-05-12-rays-indians_n.htm",0
88,n.b.a. roundup: defensive display by wade ignites heat dwyane wade?s dazzling 55-second stretch shortly after tip-off was part of 11 blocks for miami as the heat held memphis to 39 percent shooting to win its second straight game. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/4bp-tv4njtw/13nba.html,0
89,"southwest: purdue 65, st. peters 43: moore, johnson lead purdue past st. peter's e'twaun moore scored 19 points and jujuan johnson added 16 with 16 rebounds friday night as third-seeded purdue routed st. peter's 65-43. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/j1rclswva1s/ap-bkc-ncaa-st-peters-purdue.html",0
90,2010 steelers: what the film revealed ben roethlisberger was the key to the steelers' success. he and michael vick are the league's only quarterbacks who can consistently succeed when plays collapse. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/h8k9vmnfeps/,0
91,"djokovic sinks nadal in thrilling miami final in an epic final, novak djokovic defeated world number one rafa nadal in a third set tiebreak to win the sony ericsson open 4-6 6-3 7-6 on sunday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/1nl0yvv1nhy/us-tennis-men-miami-idustre7322zf20110403",0
92,"lightning, bruins ready for business after long layoff when the boston bruins and tampa bay lightning meet in game 1 of the eastern conference finals, players might feel as if it is the first day ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/tthitwyaetm/2011-05-12-eastern-conference-long-layoff_n.htm",0
93,"bulls win 7th in a row to stand alone atop east derrick rose scored 23 points in chicago's seventh straight win, a 98-79 victory over the washington wizards on tuesday night that moved the ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/vlgloohb-yy/2011-03-15-bulls-wizards_n.htm",0
94,mets' top pick wants to put wyoming on the baseball map brandon nimmo caught the attention of scouts and executives with his stellar play at some all-star contests. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/rzir2xpqbxe/,0
95,celtics too much for slumping spurs the boston celtics finally got a big win and their big man back. they may also reclaim the no. 1 seed in the eastern conference. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/lohslotspv4/2011-03-31-celtics-spurs_n.htm,0
96,"giants' pablo sandoval out 4-6 weeks with broken wrist san francisco giants third baseman pablo sandoval broke a bone in his right wrist and is expected to miss four to six weeks, adding to the concerns ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/4yksfvajzdm/2011-04-30-pablo-sandoval-out_n.htm",0
97,"venus williams pulls out of french open: wta venus williams has joined her sister serena in withdrawing from the french open because of injury, the wta said on saturday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/0fbk93kfy38/us-tennis-open-venus-idustre74d0v120110514",0
98,"gary blair engineers women's hoops revival at texas a&amp;m texas a&amp;m women's basketball fans occupied every seat and then some at dick's last resort, near american airlines center, as tuesday night ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/gkijaawzrhg/2011-03-30-gary-blair-texas-am_n.htm",0
99,"antagonists abound in the initial plot line twelve penalties were called wednesday, when the boston bruins and the vancouver canucks met for only the second time this season. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/wdmn5gmp2o4/stanley-cup-finals-chippiness-abounds-in-first-game.html",0
100,hines ward earns a spot in dancing with the stars finals hines ward has danced his way into the finals. the pittsburgh steelers receiver earned a berth in the finals of dancing with the stars with an ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/9yxzyizweiy/1,0
101,"live nba blog: heat's big 3 overpower celts, 102-91 we're live blogging game 2 of the heat-celtics playoff tonight. weigh in with comments about the game. and cast a vote on our quick question ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/oysflrqz0l4/1",0
102,von miller will be in court to sue nfl and will attend nfl draft von miller figures to see roger goodell on opposite ends of the nfl's spectrum in april. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ihiutthm7ds/1,0
103,"fan claims foul words, acts by braves coach mcdowell atlanta pitching coach roger mcdowell issued an apology wednesday in response to a fan's complaint that mcdowell spewed homophobic comments, ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/-cokvsmi0vu/2011-04-27-mcdowell-comments_n.htm",0
104,nuggets clinch eighth straight playoff berth in win over lakers the denver nuggets clinched a playoff berth on sunday with a 95-90 victory over the defending nba champion los angeles lakers. http://feeds.reuters.com/~r/reuters/sportsnews/~3/ehc5pz5tsyq/us-nba-nuggets-idustre7330ru20110404,0
105,tiger woods' charge fades as questions persist tiger woods roared through the front nine of the final round of the masters early sunday afternoon as if he were going to do what he had done ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/tomhkzfa5ss/2011-04-10-tiger-woods-masters-charge-fade_n.htm,0
106,"under a microscope, jeter has a powerless start in his 17th and most scrutinized season with the yankees, derek jeter has gotten off to a slow start. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/27qbow43mvw/04jeter.html",0
107,"magic's howard named defensive player of year dwight howard was named the nba's defensive player of the year monday, making the dominant orlando magic center the first player to win the award in three consecutive seasons. http://feeds.reuters.com/~r/reuters/sportsnews/~3/xh4xk1sycuc/us-nba-magic-howard-idustre73h5qm20110418",0
108,"knicks expect billups in lineup on sunday chauncey billups, who was out six games with a deep bruise in his left thigh, practiced saturday for the first time in two weeks. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/gp5voqszy6i/13knicks.html",0
109,"brett gardner, not derek jeter, to lead off in yankees opener if it's good enough for $126 million man jayson werth, batting second should be just fine with derek jeter. http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ecgzyii9u4a/1",0
